operation,runtime
SET key_0,0.0006685256958007812
GET key_0,0.0005023479461669922
SET key_1,0.00010347366333007812
GET key_1,0.0
SET key_2,0.0006093978881835938
GET key_2,0.0005724430084228516
SET key_3,0.0005028247833251953
GET key_3,0.0
SET key_4,0.0
GET key_4,0.0010035037994384766
SET key_5,0.0
GET key_5,0.00099945068359375
SET key_6,0.0
GET key_6,0.0
SET key_7,0.0010001659393310547
GET key_7,0.0
SET key_8,0.0
GET key_8,0.0010008811950683594
SET key_9,0.0
GET key_9,0.0
SET key_10,0.0009992122650146484
GET key_10,0.0
SET key_11,0.0
GET key_11,0.001001119613647461
SET key_12,0.0
GET key_12,0.0
SET key_13,0.0010001659393310547
GET key_13,0.0
SET key_14,0.0
GET key_14,0.0009987354278564453
SET key_15,0.0
GET key_15,0.0
SET key_16,0.0
GET key_16,0.0010061264038085938
SET key_17,0.0
GET key_17,0.0
SET key_18,0.0009937286376953125
GET key_18,0.0
SET key_19,0.0010037422180175781
GET key_19,0.0
SET key_20,0.0
GET key_20,0.0
SET key_21,0.0009975433349609375
GET key_21,0.0
SET key_22,0.0
GET key_22,0.0009999275207519531
SET key_23,0.0
GET key_23,0.0
SET key_24,0.00099945068359375
GET key_24,0.0
SET key_25,0.0
GET key_25,0.0
SET key_26,0.0010004043579101562
GET key_26,0.0
SET key_27,0.0
GET key_27,0.0010001659393310547
SET key_28,0.0
GET key_28,0.0
SET key_29,0.0
GET key_29,0.0009996891021728516
SET key_30,0.0
GET key_30,0.0
SET key_31,0.0009999275207519531
GET key_31,0.0
SET key_32,0.0
GET key_32,0.0
SET key_33,0.0009996891021728516
GET key_33,0.0
SET key_34,0.0
GET key_34,0.001001596450805664
SET key_35,0.0
GET key_35,0.0
SET key_36,0.0009989738464355469
GET key_36,0.0
SET key_37,0.0
GET key_37,0.0009992122650146484
SET key_38,0.0
GET key_38,0.0
SET key_39,0.0009996891021728516
GET key_39,0.0
SET key_40,0.0
GET key_40,0.0
SET key_41,0.0010001659393310547
GET key_41,0.0
SET key_42,0.0
GET key_42,0.001001596450805664
SET key_43,0.0
GET key_43,0.0
SET key_44,0.0009989738464355469
GET key_44,0.0
SET key_45,0.0
GET key_45,0.0009989738464355469
SET key_46,0.0
GET key_46,0.0
SET key_47,0.0
GET key_47,0.001001119613647461
SET key_48,0.0
GET key_48,0.0
SET key_49,0.0010006427764892578
GET key_49,0.0
SET key_50,0.0
GET key_50,0.0009996891021728516
SET key_51,0.0
GET key_51,0.0
SET key_52,0.00099945068359375
GET key_52,0.0
SET key_53,0.0
GET key_53,0.0
SET key_54,0.0010001659393310547
GET key_54,0.0
SET key_55,0.0
GET key_55,0.0009999275207519531
SET key_56,0.0
GET key_56,0.0
SET key_57,0.00099945068359375
GET key_57,0.0
SET key_58,0.0
GET key_58,0.0
SET key_59,0.0010004043579101562
GET key_59,0.0
SET key_60,0.0010142326354980469
GET key_60,0.0
SET key_61,0.0
GET key_61,0.0
SET key_62,0.001005411148071289
GET key_62,0.0
SET key_63,0.0
GET key_63,0.0
SET key_64,0.0010004043579101562
GET key_64,0.0
SET key_65,0.0
GET key_65,0.0
SET key_66,0.00099945068359375
GET key_66,0.0
SET key_67,0.0
GET key_67,0.0
SET key_68,0.0009996891021728516
GET key_68,0.0
SET key_69,0.0
GET key_69,0.0009999275207519531
SET key_70,0.0
GET key_70,0.0
SET key_71,0.0010004043579101562
GET key_71,0.0
SET key_72,0.0
GET key_72,0.0010004043579101562
SET key_73,0.0
GET key_73,0.0
SET key_74,0.0009989738464355469
GET key_74,0.0
SET key_75,0.0
GET key_75,0.0010004043579101562
SET key_76,0.0
GET key_76,0.0
SET key_77,0.0
GET key_77,0.0010004043579101562
SET key_78,0.0
GET key_78,0.0005040168762207031
SET key_79,0.0
GET key_79,0.0
SET key_80,0.0011069774627685547
GET key_80,0.0
SET key_81,0.0
GET key_81,0.0
SET key_82,0.001012563705444336
GET key_82,0.0
SET key_83,0.0
GET key_83,0.0009982585906982422
SET key_84,0.0
GET key_84,0.0
SET key_85,0.00099945068359375
GET key_85,0.0
SET key_86,0.0
GET key_86,0.0010008811950683594
SET key_87,0.0
GET key_87,0.0
SET key_88,0.0009996891021728516
GET key_88,0.0
SET key_89,0.0
GET key_89,0.0010106563568115234
SET key_90,0.0
GET key_90,0.0
SET key_91,0.0009894371032714844
GET key_91,0.0
SET key_92,0.0
GET key_92,0.0009996891021728516
SET key_93,0.0
GET key_93,0.0
SET key_94,0.0010001659393310547
GET key_94,0.0
SET key_95,0.0
GET key_95,0.001001119613647461
SET key_96,0.0
GET key_96,0.0
SET key_97,0.002007722854614258
GET key_97,0.0
SET key_98,0.0
GET key_98,0.0009915828704833984
SET key_99,0.0
GET key_99,0.0
