operation,runtime
INSERT key_0,0.0010335445404052734
GET key_0,0.0010654926300048828
INSERT key_1,0.0010478496551513672
GET key_1,0.000518798828125
INSERT key_2,0.0010514259338378906
GET key_2,0.0005249977111816406
INSERT key_3,0.0005195140838623047
GET key_3,0.0010340213775634766
INSERT key_4,0.0010404586791992188
GET key_4,0.0006079673767089844
INSERT key_5,0.0005030632019042969
GET key_5,0.0005104541778564453
INSERT key_6,0.001619577407836914
GET key_6,0.0005757808685302734
INSERT key_7,0.0009150505065917969
GET key_7,0.0010786056518554688
INSERT key_8,0.0013930797576904297
GET key_8,0.0011153221130371094
INSERT key_9,0.0005185604095458984
GET key_9,0.0005152225494384766
INSERT key_10,0.0005137920379638672
GET key_10,0.001027822494506836
INSERT key_11,0.0005450248718261719
GET key_11,0.0005142688751220703
INSERT key_12,0.0005276203155517578
GET key_12,0.0005214214324951172
INSERT key_13,0.0010402202606201172
GET key_13,0.001068115234375
INSERT key_14,0.0005385875701904297
GET key_14,0.0005240440368652344
INSERT key_15,0.0005156993865966797
GET key_15,0.0010497570037841797
INSERT key_16,0.0006482601165771484
GET key_16,0.0005199909210205078
INSERT key_17,0.0005156993865966797
GET key_17,0.0010483264923095703
INSERT key_18,0.0005137920379638672
GET key_18,0.0005171298980712891
INSERT key_19,0.0005369186401367188
GET key_19,0.0005154609680175781
INSERT key_20,0.0010411739349365234
GET key_20,0.0005433559417724609
INSERT key_21,0.0005743503570556641
GET key_21,0.0005033016204833984
INSERT key_22,0.0005266666412353516
GET key_22,0.0006628036499023438
INSERT key_23,0.0010876655578613281
GET key_23,0.0010368824005126953
INSERT key_24,0.0005097389221191406
GET key_24,0.0005166530609130859
INSERT key_25,0.0005364418029785156
GET key_25,0.001043081283569336
INSERT key_26,0.0006246566772460938
GET key_26,0.0005035400390625
INSERT key_27,0.0005273818969726562
GET key_27,0.0006213188171386719
INSERT key_28,0.0005028247833251953
GET key_28,0.0018172264099121094
INSERT key_29,0.0005376338958740234
GET key_29,0.0
INSERT key_30,0.0005309581756591797
GET key_30,0.0005204677581787109
INSERT key_31,0.0010614395141601562
GET key_31,0.0005853176116943359
INSERT key_32,0.0006542205810546875
GET key_32,0.0005035400390625
INSERT key_33,0.0005156993865966797
GET key_33,0.0005104541778564453
INSERT key_34,0.000514984130859375
GET key_34,0.0010352134704589844
INSERT key_35,0.00051116943359375
GET key_35,0.0012068748474121094
INSERT key_36,0.0005106925964355469
GET key_36,0.0005283355712890625
INSERT key_37,0.0005207061767578125
GET key_37,0.0006048679351806641
INSERT key_38,0.0005137920379638672
GET key_38,0.0010447502136230469
INSERT key_39,0.00011849403381347656
GET key_39,0.0010297298431396484
INSERT key_40,0.0
GET key_40,0.001003265380859375
INSERT key_41,0.0
GET key_41,0.0015723705291748047
INSERT key_42,0.0
GET key_42,0.0010068416595458984
INSERT key_43,0.0009999275207519531
GET key_43,0.0
INSERT key_44,0.0010008811950683594
GET key_44,0.0010480880737304688
INSERT key_45,0.0
GET key_45,0.0010004043579101562
INSERT key_46,0.001505136489868164
GET key_46,0.001005411148071289
INSERT key_47,0.0
GET key_47,0.00150299072265625
INSERT key_48,0.0005185604095458984
GET key_48,0.0005319118499755859
INSERT key_49,0.0005168914794921875
GET key_49,0.0005950927734375
INSERT key_50,0.0006535053253173828
GET key_50,0.0005044937133789062
INSERT key_51,0.001043558120727539
GET key_51,0.0005297660827636719
INSERT key_52,0.0005414485931396484
GET key_52,0.0005352497100830078
INSERT key_53,0.001047372817993164
GET key_53,0.0005252361297607422
INSERT key_54,0.0005137920379638672
GET key_54,0.0005195140838623047
INSERT key_55,0.0005164146423339844
GET key_55,0.0005404949188232422
INSERT key_56,0.0005164146423339844
GET key_56,0.0010552406311035156
INSERT key_57,0.0015289783477783203
GET key_57,0.0005035400390625
INSERT key_58,0.0005347728729248047
GET key_58,0.0005230903625488281
INSERT key_59,0.0005159378051757812
GET key_59,0.0010647773742675781
INSERT key_60,0.001031637191772461
GET key_60,0.0005099773406982422
INSERT key_61,0.000705718994140625
GET key_61,0.0005052089691162109
INSERT key_62,0.0005450248718261719
GET key_62,0.0012409687042236328
INSERT key_63,0.00101470947265625
GET key_63,0.0005257129669189453
INSERT key_64,0.0005147457122802734
GET key_64,0.0005345344543457031
INSERT key_65,0.0005221366882324219
GET key_65,0.0005133152008056641
INSERT key_66,0.001041412353515625
GET key_66,0.0005147457122802734
INSERT key_67,0.0005300045013427734
GET key_67,0.0010361671447753906
INSERT key_68,0.0005178451538085938
GET key_68,0.0
INSERT key_69,0.0016162395477294922
GET key_69,0.0005135536193847656
INSERT key_70,0.0005242824554443359
GET key_70,0.0005030632019042969
INSERT key_71,0.0
GET key_71,0.0015294551849365234
INSERT key_72,0.0013053417205810547
GET key_72,0.0006539821624755859
INSERT key_73,0.0010302066802978516
GET key_73,0.0005106925964355469
INSERT key_74,0.000522613525390625
GET key_74,0.0012502670288085938
INSERT key_75,0.0
GET key_75,0.0013866424560546875
INSERT key_76,0.0005269050598144531
GET key_76,0.0011475086212158203
INSERT key_77,0.0010266304016113281
GET key_77,0.0005235671997070312
INSERT key_78,0.0005097389221191406
GET key_78,0.0005199909210205078
INSERT key_79,0.0010454654693603516
GET key_79,0.0010387897491455078
INSERT key_80,0.0005166530609130859
GET key_80,0.0005204677581787109
INSERT key_81,0.0010530948638916016
GET key_81,0.001049041748046875
INSERT key_82,0.0008771419525146484
GET key_82,0.0005040168762207031
INSERT key_83,0.0005195140838623047
GET key_83,0.0010356903076171875
INSERT key_84,0.0005123615264892578
GET key_84,0.0005228519439697266
INSERT key_85,0.0010390281677246094
GET key_85,0.0008106231689453125
INSERT key_86,0.0005023479461669922
GET key_86,0.0005261898040771484
INSERT key_87,0.0005097389221191406
GET key_87,0.0005137920379638672
INSERT key_88,0.0010344982147216797
GET key_88,0.0005133152008056641
INSERT key_89,0.0005152225494384766
GET key_89,0.0005228519439697266
INSERT key_90,0.0010457038879394531
GET key_90,0.0005526542663574219
INSERT key_91,0.0010364055633544922
GET key_91,0.0010590553283691406
INSERT key_92,0.0011060237884521484
GET key_92,0.000667572021484375
INSERT key_93,0.0006375312805175781
GET key_93,0.0005252361297607422
INSERT key_94,0.0012292861938476562
GET key_94,0.0005269050598144531
INSERT key_95,0.0010809898376464844
GET key_95,0.0005733966827392578
INSERT key_96,0.0010170936584472656
GET key_96,0.0010747909545898438
INSERT key_97,0.0010929107666015625
GET key_97,0.0005128383636474609
INSERT key_98,0.0005342960357666016
GET key_98,0.0005176067352294922
INSERT key_99,0.0010519027709960938
GET key_99,0.0016326904296875
INSERT key_100,0.0005035400390625
GET key_100,0.0005118846893310547
INSERT key_101,0.0005228519439697266
GET key_101,0.0005242824554443359
INSERT key_102,0.0005948543548583984
GET key_102,0.0005815029144287109
INSERT key_103,0.0005028247833251953
GET key_103,0.0005192756652832031
INSERT key_104,0.0005273818969726562
GET key_104,0.0005433559417724609
INSERT key_105,0.0010647773742675781
GET key_105,0.0005996227264404297
INSERT key_106,0.0010228157043457031
GET key_106,0.0005283355712890625
INSERT key_107,0.0005276203155517578
GET key_107,0.0005161762237548828
INSERT key_108,0.0005137920379638672
GET key_108,0.0010533332824707031
INSERT key_109,0.0010428428649902344
GET key_109,0.0005168914794921875
INSERT key_110,0.0010833740234375
GET key_110,0.0010368824005126953
INSERT key_111,0.0015709400177001953
GET key_111,0.0005211830139160156
INSERT key_112,0.0005257129669189453
GET key_112,0.0005209445953369141
INSERT key_113,0.001214742660522461
GET key_113,0.001026153564453125
INSERT key_114,0.0005114078521728516
GET key_114,0.0005307197570800781
INSERT key_115,0.0005247592926025391
GET key_115,0.0005278587341308594
