operation,runtime
INSERT key_0,0.003999471664428711
SELECT key_0,0.0013468265533447266
INSERT key_1,0.003509521484375
SELECT key_1,0.0010001659393310547
INSERT key_2,0.004000425338745117
SELECT key_2,0.0
INSERT key_3,0.003512144088745117
SELECT key_3,0.0
INSERT key_4,0.003000020980834961
SELECT key_4,0.0010001659393310547
INSERT key_5,0.0029997825622558594
SELECT key_5,0.0009999275207519531
INSERT key_6,0.0030584335327148438
SELECT key_6,0.0015039443969726562
INSERT key_7,0.0036232471466064453
SELECT key_7,0.0010018348693847656
INSERT key_8,0.003039836883544922
SELECT key_8,0.0010013580322265625
INSERT key_9,0.003998756408691406
SELECT key_9,0.0
INSERT key_10,0.004504203796386719
SELECT key_10,0.0010039806365966797
INSERT key_11,0.0020003318786621094
SELECT key_11,0.0010006427764892578
INSERT key_12,0.0030002593994140625
SELECT key_12,0.0
INSERT key_13,0.002832651138305664
SELECT key_13,0.0006742477416992188
INSERT key_14,0.0035076141357421875
SELECT key_14,0.0010013580322265625
INSERT key_15,0.0029990673065185547
SELECT key_15,0.00099945068359375
INSERT key_16,0.0025069713592529297
SELECT key_16,0.00099945068359375
INSERT key_17,0.003000020980834961
SELECT key_17,0.0
INSERT key_18,0.003086090087890625
SELECT key_18,0.0
INSERT key_19,0.003992557525634766
SELECT key_19,0.0
INSERT key_20,0.003000020980834961
SELECT key_20,0.0
INSERT key_21,0.0030014514923095703
SELECT key_21,0.0
INSERT key_22,0.003076314926147461
SELECT key_22,0.0010001659393310547
INSERT key_23,0.001999378204345703
SELECT key_23,0.005035877227783203
INSERT key_24,0.0030002593994140625
SELECT key_24,0.0
INSERT key_25,0.003113269805908203
SELECT key_25,0.0009169578552246094
INSERT key_26,0.0019996166229248047
SELECT key_26,0.0011332035064697266
INSERT key_27,0.005000591278076172
SELECT key_27,0.0010008811950683594
INSERT key_28,0.002504110336303711
SELECT key_28,0.0
INSERT key_29,0.0030040740966796875
SELECT key_29,0.0010004043579101562
INSERT key_30,0.0030002593994140625
SELECT key_30,0.0
INSERT key_31,0.003560781478881836
SELECT key_31,0.0010035037994384766
INSERT key_32,0.0020008087158203125
SELECT key_32,0.00099945068359375
INSERT key_33,0.002001047134399414
SELECT key_33,0.0009989738464355469
INSERT key_34,0.0025072097778320312
SELECT key_34,0.0010051727294921875
INSERT key_35,0.005000114440917969
SELECT key_35,0.0
INSERT key_36,0.003999471664428711
SELECT key_36,0.0
INSERT key_37,0.003165006637573242
SELECT key_37,0.0010006427764892578
INSERT key_38,0.0029993057250976562
SELECT key_38,0.0
INSERT key_39,0.003396749496459961
SELECT key_39,0.0005030632019042969
INSERT key_40,0.003003358840942383
SELECT key_40,0.0010006427764892578
INSERT key_41,0.00400090217590332
SELECT key_41,0.0
INSERT key_42,0.0033826828002929688
SELECT key_42,0.0009999275207519531
INSERT key_43,0.002000570297241211
SELECT key_43,0.0009996891021728516
INSERT key_44,0.0036041736602783203
SELECT key_44,0.0009047985076904297
INSERT key_45,0.002000093460083008
SELECT key_45,0.00099945068359375
INSERT key_46,0.0030019283294677734
SELECT key_46,0.0
INSERT key_47,0.002997875213623047
SELECT key_47,0.0
INSERT key_48,0.0030336380004882812
SELECT key_48,0.0
INSERT key_49,0.0029993057250976562
SELECT key_49,0.0
INSERT key_50,0.003000497817993164
SELECT key_50,0.0
INSERT key_51,0.0030944347381591797
SELECT key_51,0.0
INSERT key_52,0.0029990673065185547
SELECT key_52,0.0
INSERT key_53,0.0030519962310791016
SELECT key_53,0.0
INSERT key_54,0.0031595230102539062
SELECT key_54,0.0010039806365966797
INSERT key_55,0.003000020980834961
SELECT key_55,0.0
INSERT key_56,0.0030012130737304688
SELECT key_56,0.0
INSERT key_57,0.002507448196411133
SELECT key_57,0.0010020732879638672
INSERT key_58,0.0029976367950439453
SELECT key_58,0.0
INSERT key_59,0.003000497817993164
SELECT key_59,0.0
INSERT key_60,0.0030641555786132812
SELECT key_60,0.0009965896606445312
INSERT key_61,0.002000093460083008
